Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
9850.0	9900.0	200	400	4
9900.0	9950.0	200	200	2
9950.0	10000.0	200	200	2
10000.0	10050.0	400	200	2
10050.0	10100.0	400	200	2
10100.0	10150.0	400	200	2
10150.0	10200.0	400	200	2
10200.0	10250.0	400	200	2
10250.0	10300.0	400	200	2
10300.0	10350.0	400	200	2
10350.0	10400.0	400	200	2
10400.0	10450.0	400	350	4
10450.0	10500.0	400	350	4
10500.0	10550.0	400	350	4
10550.0	10600.0	400	350	4
10600.0	10650.0	400	350	4
10650.0	10700.0	400	350	4
10700.0	10750.0	400	350	4
10750.0	10800.0	400	350	4
10800.0	10850.0	400	350	4
10850.0	10900.0	400	350	4
10900.0	10950.0	400	350	4
10950.0	11000.0	400	350	4
11000.0	11050.0	400	500	4
11050.0	11100.0	400	500	4
11100.0	11150.0	400	500	4
11150.0	11200.0	400	500	4
11200.0	11250.0	400	500	4
11250.0	11300.0	400	500	4
11300.0	11350.0	400	500	4
11350.0	11400.0	400	500	4
11400.0	11450.0	400	500	4
11450.0	11500.0	400	500	4
11500.0	11550.0	400	500	4
11550.0	11600.0	400	500	4
11600.0	11650.0	400	500	4
11650.0	11700.0	400	500	4
11700.0	11750.0	400	500	4
11750.0	11800.0	400	500	4
11800.0	11850.0	400	500	4
11850.0	11900.0	400	500	4
11900.0	11950.0	400	500	4
11950.0	12000.0	400	500	4
12000.0	12050.0	400	500	4
12050.0	12100.0	400	500	4
12100.0	12150.0	400	500	4
12150.0	12200.0	400	500	4
12200.0	12250.0	400	500	4
12250.0	12300.0	400	500	4
12300.0	12350.0	400	500	4
12350.0	12400.0	400	500	4
12400.0	12450.0	400	500	4
12450.0	12500.0	400	500	4
12500.0	12550.0	400	500	4
12550.0	12600.0	400	500	4
12600.0	12650.0	400	500	4
12650.0	12700.0	400	500	4
12700.0	12750.0	400	500	4
12750.0	12800.0	400	500	4
12800.0	12850.0	400	500	4
12850.0	12900.0	400	500	4
12900.0	12950.0	400	500	4
12950.0	13000.0	400	500	4
13000.0	13050.0	400	500	4
13050.0	13100.0	400	500	4
13100.0	13150.0	400	500	4
13150.0	13200.0	400	500	4
13200.0	13250.0	400	500	4
13250.0	13300.0	200	200	3
13300.0	13350.0	200	200	3
13350.0	13400.0	200	200	3
13400.0	13450.0	200	200	3
13450.0	13500.0	200	200	3
13500.0	13550.0	200	200	3
13550.0	13600.0	200	200	3
13600.0	13650.0	200	200	3
13650.0	13700.0	200	200	3
13700.0	13750.0	200	200	3
13750.0	13800.0	200	200	3
13800.0	13850.0	400	400	3
13850.0	13900.0	400	400	3
13900.0	13950.0	400	400	3
13950.0	14000.0	400	400	3
14000.0	14050.0	400	400	3
14050.0	14100.0	400	400	3
14100.0	14150.0	400	400	3
14150.0	14200.0	400	400	3
14200.0	14250.0	400	400	3
14250.0	14300.0	400	400	3
14300.0	14350.0	400	400	3
14350.0	14400.0	400	400	3
14400.0	14450.0	400	400	3
14450.0	14500.0	400	400	3
14500.0	14550.0	400	400	3
14550.0	14600.0	400	400	3
14600.0	14650.0	400	400	3
14650.0	14700.0	400	400	3
14700.0	14750.0	400	400	3
