Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Тип коммуникации	Расстояние от оси дороги начала участка,м	Расстояние от оси дороги конца участка,м
71	193	1	2	20	10
275	620	2	2	6	6
680	1170	1	2	4	5
763	1578	2	2	10	20
1374	1659	2	2	10	20
1873	1924	2	2	10	10
1934	2524	1	2	10	10
2550	2705	2	2	25	35
3003	9824	1	2	5	20
12115	13588	2	2	40	50
13680	14225	1	2	25	10
22420	23703	1	2	10	5
24300	26043	2	2	5	15
26084	26156	2	5	5	20
26391	26832	1	2	10	10
