Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
50	2952	1	13
50	2952	2	13
2952	4225	2	1
2952	9182	1	2
4225	9427	2	2
9182	10465	1	13
9427	10588	2	13
10465	20306	1	2
10465	12125	2	1
12125	13721	2	2
13721	16163	2	1
16163	21373	2	2
20306	21658	1	1
21373	21960	2	13
21658	21960	1	13
21960	22573	1	1
21960	23938	2	1
22573	24054	1	2
23938	26146	2	2
24054	25768	1	1
25765	25982	1	12
25982	26146	1	1
26146	26299	1	2
26146	26299	2	1
26299	26832	2	2
26299	26832	1	7
