Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	502	1	2	2	5
502	512	1	2	2	3
512	791	1	2	2	5
791	801	1	2	2	3
801	1392	1	2	2	5
1392	1478	1	2	2	5
0	73	2	2	2	5
73	94	2	2	2	3
94	320	2	2	2	5
320	330	2	2	2	3
330	502	2	2	2	5
502	512	2	2	2	3
512	1046	2	2	2	5
1046	1392	2	2	2	5
1392	1478	2	2	2	5
