Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
158	3	7	90	государственная
880	3	7	90	государственная
1491	5	7	90	государственная
1482	3	7	90	государственная
2362	5	7	90	государственная
3446	3	7	45	государственная
3559	3	7	45	государственная
5065	3	7	45	государственная
