Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	3.02	4.99						
200.0	300.0	2.56	3.28						
300.0	400.0	0.0	3.42						
400.0	500.0	3.4	3.7						
500.0	600.0	4.3	3.44						
600.0	700.0	4.19	3.24						
700.0	800.0	4.87	4.07						
800.0	900.0	3.2	3.24						
900.0	1000.0	3.52	3.06						
1000.0	1100.0	3.5	3.96						
1100.0	1200.0	4.47	8.1						
1200.0	1300.0	4.41	4.03						
1300.0	1400.0	5.78	3.49						
1400.0	1500.0	6.84	4.17						
1500.0	1501.496								
