Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
51	3	7	90	государственная
520	3	7	90	государственная
9117	3	7	90	государственная
1275	3	7	90	государственная
1490	3	7	135	государственная
1630	5	6	90	государственная
1640	3	7	90	государственная
1803	5	6	90	государственная
2342	3	7	90	государственная
2383	5	6	90	государственная
2556	3	7	90	государственная
