Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
29	3	7	90	государственная
254	3	7	90	государственная
458	3	7	90	государственная
1007	3	7	45	государственная
1038	3	7	45	государственная
1109	5	6	90	государственная
1323	3	7	90	государственная
1404	3	7	45	государственная
1445	3	7	135	государственная
