Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
43	3	7	90	государственная
157	3	7	90	государственная
415	3	7	90	государственная
802	3	7	90	государственная
909	3	7	90	государственная
939	3	7	90	государственная
950	3	7	45	государственная
980	3	7	45	государственная
100	3	7	90	государственная
