Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
209	1	2	1.11.1		1	1
851	2	1	1.11.2		1	1
1279	1	2	1.11.1		1	1
3325	2	1	1.11.1		1	1
4007	1	2	1.11.2		1	1
4373	2	1	1.11.1		1	1
4526	1	2	1.34.2		1	1
5596	2	1	5.23.1	Кленовое	2	1
5596	1	2	5.24.1	Кленовое	2	1
6165	2	1	2.3.2		1	1
6185	1	2	5.16		1	1
6266	1	2	2.4		1	1
