Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	418	1	2	2	5
418	612	1	2	2	5
612	962	1	2	2	5
962	2390	1	2	2	5
0	449	2	2	2	5
449	459	2	2	2	3
459	520	2	2	2	5
520	535	2	2	2	3
535	612	2	2	2	5
612	860	2	2	2	5
860	887	2	2	2	3
887	962	2	2	2	5
962	2390	2	2	2	5
