Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1103	1	2	2	5
1103	1113	1	2	2	3
1113	1800	1	2	2	5
1800	2400	1	2	2	5
0	722	2	2	2	5
722	732	2	2	2	3
732	1800	2	2	2	5
1800	1806	2	2	2	3
1806	2363	2	2	2	5
2363	2374	2	2	2	3
2374	2400	2	2	2	5
