Код дороги	Местоположение, м	Код расположения	Длина трубы, м	Код материала тела трубы	Расстояние от оси проезжей части до трубы на примыкании, м	Код вида перекрываемого препятствия	Код режима протекания воды	Глубина заложения фундамента, м	Код типа основания	Высота насыпи по профилю, м	Высота насыпи над трубой, м	Средний уклон по лотку, ‰	Объем тела трубы, м3	Код изоляции	Год ввода в эксплуатацию	Год последнего кап. ремонта	Код технического состояния	Заиливание (1-да,0-нет)	Раскрытие швов между звеньями (1-да, 0-нет)	Локальные разрушения укрепл. откоса насыпи (1-да, 0-нет)	Размыв русел водотока (1-да, 0-нет)	Высокая трава и древесно-кустарниковая растительность (1-да, 0-нет)	Локальные повреждения оголовков (1-да, 0-нет)	Иные дефекты (1-да, 0-нет)	Дорожная организация, выполнявшая диагностику	Код типа оголовка	Высота оголовка, м	Ширина оголовка, м	Код материала оголовка	Код укрепления русла 	Код укрепления откосов	Поперечное сечение отверстия	Количество отверстий	Диаметр отверстия, м	Высота отверстия, м	Ширина отверстия, м	Толщина стенки трубы, см	Код технического состояния.1	Широта оголовка трубы	Долгота оголовка трубы	Код очертания отверстия трубы 	Код типа оголовка.1	Высота оголовка, м.1	Ширина оголовка, м.1	Код материала оголовка.1	Код укрепления русла .1	Код укрепления откосов.1	Поперечное сечение отверстия.1	Количество отверстий.1	Диаметр отверстия, м.1	Высота отверстия, м.1	Ширина отверстия, м.1	Толщина стенки трубы, см.1	Код технического состояния.2	Широта оголовка трубы.1	Долгота оголовка трубы.1	Код очертания отверстия трубы .1
38 ОП МЗ 38Н-176	2555	11	15	1	7.5	4	1			2.4	1.6		11.775				1	1	0	0	0	1	0	0		1	1.2	2.1	3	9.0	9.0	0.785	1	1.0			8.0	2	51.54421	36.10061	1	1	1.2	2.1	3	9.0	9.0	0.785	1	1.0			8.0	2	51.54408	36.10061	1
38 ОП МЗ 38Н-176	27	11	10	1	5.0	4	1			0.85	0.36		2.826				1	0	0	0	0	0	0	0		1	1.0	2.0	3	9.0	9.0	0.2826	1	0.6			7.0	2	51.53708	36.13582	1	1	1.0	2.0	3	9.0	9.0	0.2826	1	0.6			7.0	2	51.53698	36.1359	1
38 ОП МЗ 38Н-176	5520	13	10	1	5.0	4	1			1.65	1.1		1.9625000000000001				1	0	0	0	1	0	0	0		1	1.1	1.5	3	9.0	9.0	0.19625	1	0.5			6.0	2	51.53621	36.13731	1	1	1.1	1.45	3	9.0	9.0	0.19625	1	0.5			6.0	2	51.53604	36.13697	1
38 ОП МЗ 38Н-176	5653	11	20	1	10.0	4	1			4.9	3.5		22.608				1	1	0	0	0	1	0	0		2	1.5	7.5	3	3.0	3.0	1.1304	3	1.2			9.0	2	51.53077	36.14315	1	2	1.5	6.0	3	3.0	3.0	1.1304	3	1.2			9.0	2	51.5307	36.14303	1
38 ОП МЗ 38Н-176	6384	11	10	1	5.0	4	1			1.0	0.76		7.8500000000000005				1	1	0	0	0	0	0	0		1	1.2	2.0	3	9.0	9.0	0.785	1	1.0			8.0	3	51.52346	36.15189	1	1	1.2	2.0	3	9.0	9.0	0.785	1	1.0			8.0	3	51.52341	36.15181	1
38 ОП МЗ 38Н-176	7399	11	10	1	5.0	4	1			1.06	0.9		7.8500000000000005				1	0	0	0	0	0	0	0		5			3			0.785	1	1.0			12.0	3	51.50894	36.17036	1	5			3			0.785	1	1.0			12.0	3	51.50884	36.17052	1
38 ОП МЗ 38Н-176	9472	13	15	1	7.5	4	1			1.76	1.2		2.94375				1	0	0	0	0	0	0	0		1	0.4	1.5	3	3.0	3.0	0.19625	1	0.5				1	51.5143	36.17618	1	1	0.4	1.5	3	3.0	3.0	0.19625	1	0.5				1	51.51406	36.17606	1
38 ОП МЗ 38Н-176	651	11	25	1	12.5	4	1			1.9	0.9		19.625				1	1	0	0	0	1	0	0		2	1.5	5.0	3	9.0	9.0	0.785	1	1.0			7.0	2	51.51527	36.18693	1	2	1.6	2.3	3	9.0	9.0	0.785	1	1.0			7.0	2	51.51517	36.18701	1
