Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
50	2	2	2.4		1	1
2321	2	1	5.23.1	Гостомля	2	1
2321	1	2	5.24.1	Гостомля	2	1
2740	2	1	2.3.2		1	2
2900	2	2	2.4		1	1
3355	2	1	1.11.2		1	1
3448	2	1	3.24	40	1	1
3814	2	2	1.12.2		1	1
3926	2	1	3.24	40	1	1
4699	2	1	1.11.2		1	1
4915	2	2	1.11.1		1	1
5300	2	2	1.12.2		1	1
5365	2	2	3.24	40	1	1
5495	2	1	2.4		1	1
