Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
2443	3	7	45	государственная
2514	3	7	90	государственная
3193	3	7	135	государственная
3692	5	6	90	государственная
3702	3	7	90	государственная
3732	3	7	135	государственная
3926	3	7	90	государственная
5447	3	7	90	государственная
