Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
23	2	2	2.4		1	1
74	2	1	1.13		1	1
279	2	1	1.12.1		1	1
605	2	1	1.14		1	1
656	2	2	1.12.2		1	1
736	2	2	1.14		1	1
787	2	1	1.11.2		1	1
920	2	2	1.13		1	1
1073	2	2	1.12.1		1	1
1663	2	2	1.11.2		1	1
3596	2	1	2.4		1	1
