тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);";Координата окончания (x)";Координата окончания (y);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Лукьяновка – Тим – Курск – Борисоглебск – Ястребовка – Старый Оскол – Бараново;38 ОП МЗ 38Н-431;37.727454;51.395726;37.734149;51.401619;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Лукьяновка – Тим – Курск – Борисоглебск – Ястребовка – Старый Оскол – Кунье;38 ОП МЗ 38Н-432;37.669819;51.415045;37.668998;51.421082;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Максимовка – Немчиновка – Богдановка;38 ОП МЗ 38Н-459;37.871859;51.488377;37.852338;51.475789;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Мокрецкие Выселки – Мокрец;38 ОП МЗ 38Н-472;38.100657;51.374791;38.135655;51.357832;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Новомеловое – Старомеловое;38 ОП МЗ 38Н-482;38.220518;51.368661;38.224302;51.380571;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Орловка – Бабанино;38 ОП МЗ 38Н-524;38.104828;51.586995;38.117338;51.595321;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Орловка – Ряполово;38 ОП МЗ 38Н-525;38.104692;51.586947;38.086932;51.577982;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Солдатское – Рындино;38 ОП МЗ 38Н-579;37.891966;51.480063;37.925018;51.490878;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Солдатское – Бекетово;38 ОП МЗ 38Н-580;37.895466;51.472915;37.869510;51.449439;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Старое Роговое – Ровенка;38 ОП МЗ 38Н-605;37.955837;51.445459;37.993190;51.441664;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Удобное – Шеенка;38 ОП МЗ 38Н-667;38.061704;51.580056;38.069246;51.576086;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шляховы Дворы – Средние Апочки – Белгородка;38 ОП МЗ 38Н-731;37.658079;51.506405;37.738330;51.542124;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шляховы Дворы – Никольское – Лукьяновка – Тим – Курск – Борисоглебск – Ястребовка – Старый Оскол;38 ОП МЗ 38Н-732;37.636797;51.507593;37.608984;51.430392;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Вислое – Федоровка – граница Белгородской области;38 ОП МЗ 38Н-827;38.080962;51.359863;38.050932;51.371058;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Автомобильная дорога Нижние Борки – Нижняя Ровенка – Ровенка в Горшеченском районе Курской области;38 ОП МЗ 38Н-835;38.108533;51.413167;38.030833;51.424485;
