тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Касторное – Ледовское – граница Орловской области;38 ОП МЗ 38Н-326;37.569423;51.866051;37.569155;51.976357;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Касторное – Натальино;38 ОП МЗ 38Н-328;37.801241;51.771586;37.810285;51.766940;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Касторное – Нижнее Гурово;38 ОП МЗ 38Н-329;37.698694;51.847287;37.653033;51.936618;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Касторное – Переволочное – Васютина;38 ОП МЗ 38Н-332;37.508333;51.872647;37.471436;51.842710;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Касторное – Переволочное – Васютина (ответвление);39 ОП МЗ 38Н-332 (ответвление);37.508334;51.872648;37.495378;51.829138;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Михайлоанненка – Александровка;38 ОП МЗ 38Н-469;37.762139;51.930908;37.753283;51.998451;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Перцевка – Верхняя Гриневка;38 ОП МЗ 38Н-534;37.574986;51.906620;37.567717;51.905037;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Расховец – ст. Расховец;38 ОП МЗ 38Н-553;37.450563;51.905140;37.417272;51.890038;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск –Касторное – Березовчик;38 ОП МЗ 38Н-782;37.667484;51.837701;37.646517;51.814820;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Подъезд к автомобильной дороге Курск – Борисоглебск – Кшенский – граница Липецкой области – Кшень – Панское на км 2+000;38 ОП МЗ 38Н-788;37.573006;51.744700;37.579669;51.757055;
