Местоположение начала участка, м	Местоположение конца участка, м	Расположение	Тип местности	Код отметки бровки	Код отметки дна кювета
0	4153	1	1	1	1
0	4153	2	1	1	1
4153	4854	1	1	2	2
4153	4854	2	1	2	2
4854	10730	1	1	1	1
4854	10730	2	1	1	1
10730	11701	1	1	1	2
10730	11701	2	1	1	2
11701	15755	1	1	1	1
11701	15755	2	1	1	1
15755	16091	1	1	2	1
15755	16091	2	1	2	1
16091	25900	1	1	1	1
16091	25900	2	1	1	1
25900	26380	1	1	2	2
25900	26380	2	1	2	2
26380	31995	1	1	1	1
26380	31995	2	1	1	1
