Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
36	2	2	2.4		1	1
321	2	1	1.11.1		1	1
415	2	1	5.23.1	Большая Радина	2	1
415	2	2	5.24.1	Большая Радина	2	1
505	2	1	3.24	40	1	1
606	2	2	1.11.2		1	1
1137	2	1	1.11.1		1	1
1615	2	2	1.11.2		1	1
1768	2	1	3.24	40	1	1
3905	2	1	1.12.1		1	1
4382	2	1	1.12.2		1	1
5217	2	1	1.11.2		1	1
5278	2	1	5.23.1	Танеевка	2	1
5278	2	2	5.24.1	Танеевка	2	1
6024	1	1	5.16		1	1
