Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Кол-во опор освещения, шт.	Кол-во светильников, шт.	Код характеристики участка	Самостоятельная или в составе дороги	Протяженность, км	Инвентарный номер	Наименование	Год ввода в эксплуатацию	Кадастровый номер	Дата кадастра	Номер регистрации права собственности	Дата регистрации права собственности	Документы - основания возникновения  права собственности	Номер права оперативного управления 	Дата регистрации права оперативного управления 	Документы - основания возникновения права оперативного управления 	Балансовая стоимость, руб	Остаточная стоимость по состоянию на 01 января текущего года, руб
545	545	2	1	1	1															
759	759	2	1	1	1															
1004	1147	2	4	2	1		0.143													
1503	1503	2	1	1	1															
2145	2145	2	1	1	1															
2644	3191	2	14	5	1		0.547													
3619	4015	2	13	4	1		0.396													
4453	4453	2	1	1	1															
4891	4891	2	1	1	1															
