Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Тип коммуникации	Расстояние от оси дороги начала участка,м	Расстояние от оси дороги конца участка,м
36	138	2	2	10	40
505	1503	2	2	5	6
586	1503	2	5	7	10
1584	3191	2	2	8	3
1788	3170	2	5	12	6
3343	4087	2	2	5	8
3385	4494	2	5	10	20
4280	5013	2	2	5	15
4698	5013	2	5	10	10
6075	6126	2	5	15	10
6075	5126	2	2	5	10
