Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
55	2	2	2.4		1	1
808	2	1	2.4		1	1
1003	2	2	2.3.3		1	1
2438	2	1	1.11.2		1	1
2748	2	2	1.11.1		1	1
3105	2	1	1.11.1		1	1
3430	2	2	1.12.2		1	1
3829	2	2	5.16		1	1
3841	2	1	2.4		1	1
