Код дороги	Местоположение, м	Код расположения	Длина трубы, м	Код материала тела трубы	Расстояние от оси проезжей части до трубы на примыкании, м	Код вида перекрываемого препятствия	Код режима протекания воды	Глубина заложения фундамента, м	Код типа основания	Высота насыпи по профилю, м	Высота насыпи над трубой, м	Средний уклон по лотку, ‰	Объем тела трубы, м3	Код изоляции	Год ввода в эксплуатацию	Год последнего кап. ремонта	Код технического состояния	Заиливание (1-да,0-нет)	Раскрытие швов между звеньями (1-да, 0-нет)	Локальные разрушения укрепл. откоса насыпи (1-да, 0-нет)	Размыв русел водотока (1-да, 0-нет)	Высокая трава и древесно-кустарниковая растительность (1-да, 0-нет)	Локальные повреждения оголовков (1-да, 0-нет)	Иные дефекты (1-да, 0-нет)	Дорожная организация, выполнявшая диагностику	Код типа оголовка	Высота оголовка, м	Ширина оголовка, м	Код материала оголовка	Код укрепления русла 	Код укрепления откосов	Поперечное сечение отверстия	Количество отверстий	Диаметр отверстия, м	Высота отверстия, м	Ширина отверстия, м	Толщина стенки трубы, см	Код технического состояния.1	Широта оголовка трубы	Долгота оголовка трубы	Код очертания отверстия трубы 	Код типа оголовка.1	Высота оголовка, м.1	Ширина оголовка, м.1	Код материала оголовка.1	Код укрепления русла .1	Код укрепления откосов.1	Поперечное сечение отверстия.1	Количество отверстий.1	Диаметр отверстия, м.1	Высота отверстия, м.1	Ширина отверстия, м.1	Толщина стенки трубы, см.1	Код технического состояния.2	Широта оголовка трубы.1	Долгота оголовка трубы.1	Код очертания отверстия трубы .1
38 ОП МЗ 38Н-195	4921	11	15	1	7.5	4	1			2.23	1.2		11.775				1	1	0	0	0	0	0	0		2	1.65	3.1	3	9.0	9.0	0.785	1	1.0				1	51.41467	36.00996	1	2	1.9	3.1	3	9.0	9.0	0.785	1	1.0				1	51.41481	36.01007	1
38 ОП МЗ 38Н-195	6227	11	13	1	6.5	4	1			1.35	0.4		10.205				1	1	0	0	0	0	0	0		2	1.5	2.9	3	9.0	9.0	0.785	1	1.0				1	51.4187	35.99233	1	2	4.3	5.7	3	9.0	9.0	0.785	1	1.0				1	51.41882	35.99243	1
38 ОП МЗ 38Н-195	6257	12	10	1	5.0	4	1			0.82	0.76		1.9625000000000001				1	1	0	0	0	1	0	0		1	1.0	1.5	3	9.0	9.0	0.19625	1	0.5				3	51.41876	35.992	1	1	2.0	2.5	3	9.0	9.0	0.19625	0	0.5				3	51.41879	35.99184	1
38 ОП МЗ 38Н-195	6918	12	10	1	5.0	4	1			1.71	0.84		1.9625000000000001				1	1	0	0	0	0	0	0		1	1.0	1.5	3	9.0	9.0	0.19625	1	0.5				1	51.42076	35.98304	1	1	1.25	1.5	3	9.0	9.0	0.19625	1	0.5				1	51.42079	35.9829	1
38 ОП МЗ 38Н-195	7441	12	10	1	5.0	4	1			0.75	0.2		1.9625000000000001				1	1	0	0	0	1	0	0		1	1.0	1.5	3	9.0	9.0	0.19625	1	0.5				1	51.42237	35.97599	1	1	1.0	1.5	3	9.0	9.0	0.19625	1	0.5				1	51.4224	35.97585	1
38 ОП МЗ 38Н-195	7653	11	14	1	7.0	4	1			1.58	0.5		10.99				1	1	0	0	0	0	0	0		2	1.6	2.5	3	9.0	9.0	0.785	1	1.0				1	51.42305	35.97305	1	2	1.6	2.5	3	9.0	9.0	0.785	1	1.0				1	51.42318	35.97315	1
38 ОП МЗ 38Н-195	9234	11	10	1	5.0	4	2			2.5	1.15		11.304				1	1	0	0	0	1	0	0		1	2.4	6.0	3	9.0	9.0	1.1304	3	1.2				1	51.43274	35.95649	1	1	3.0	7.5	3	9.0	9.0	1.1304	3	1.2				1	51.43277	35.95671	1
38 ОП МЗ 38Н-195	9667	13	10	1	5.0	4	1			1.64	1.23		1.9625000000000001				1	1	0	0	1	0	0	0		5			3	9.0	9.0	0.19625	1	0.5			7.0	1	51.43505	35.95177	1	5			3	9.0	9.0	0.19625	1	0.5			7.0	1	51.43507	35.95164	1
38 ОП МЗ 38Н-195	10012	11	15	1	7.5	4	1			1.6	0.7		9.53775				1	1	0	0	0	1	0	0		2	1.1	7.5	3	9.0	9.0	0.63585	1	0.9			8.0	3	51.43558	35.94681	1	2			3	9.0	9.0	0.63585	1	0.9			8.0	3	51.43569	35.94685	1
38 ОП МЗ 38Н-195	10239	11	15	1	7.5	4	1			2.55	1.37		9.53775				1	1	0	0	0	1	0	0		2	1.1	7.5	3	9.0	9.0	0.63585	1	0.9			8.0	3	51.43602	35.94364	1	2			3	9.0	9.0	0.63585	1	0.9			8.0	3	51.43615	35.94366	1
38 ОП МЗ 38Н-195	11124	12	10	1	5.0	4	1			1.33	0.6		3.8465				1	1	0	0	0	0	0	0		1	1.05	1.6	3	9.0	9.0	0.38465	1	0.7			6.0	1	51.43766	35.93129	1	1	1.05	1.6	3	9.0	9.0	0.38465	1	0.7			6.0	1	51.43768	35.93114	1
38 ОП МЗ 38Н-195	11697	11	15	1	7.5	4	1			2.78	1.7		11.775				1	1	0	0	0	0	0	0		2	1.5	2.7	3	3.0	3.0	0.785	1	1.0			10.0	1	51.43713	35.92308	1	2	1.5	2.7	3	3.0	3.0	0.785	1	1.0			10.0	1	51.43725	35.92305	1
38 ОП МЗ 38Н-195	12261	13	11	1	5.5	4	1			1.94	1.44		5.526400000000001				1	1	0	0	1	0	0	0		1	1.2	2.3	3	9.0	9.0	0.5024000000000001	1	0.8				2	51.43667	35.91511	1	1	1.2	2.3	3	9.0	9.0	0.5024000000000001	1	0.8				2	51.43665	35.91494	1
38 ОП МЗ 38Н-195	12236	11	20	1	10.0	4	1			4.0	2.5		30.772				1	1	0	0	0	0	0	0		2	1.9	5.6	3	9.0	9.0	1.5386	2	1.4			10.0	1	51.43645	35.91538	1	2	1.9	5.6	3	9.0	9.0	1.5386	2	1.4			10.0	1	51.43666	35.9154	1
38 ОП МЗ 38Н-195	13330	11	20	1	10.0	4	1			4.7	3.1		30.772				1	1	0	0	0	0	0	0		2	2.0	6.0	3	3.0	3.0	1.5386	2	1.4			10.0	1	51.43529	35.89979	1	2	1.85	6.0	3	3.0	3.0	1.5386	2	1.4			10.0	1	51.43549	35.89977	1
38 ОП МЗ 38Н-195	13819	11	15	1	7.5	4	1			2.63	1.5		11.775				1	1	0	0	0	0	0	0		2	1.33	2.8	3	3.0	3.0	0.785	1	1.0				1	51.43491	35.8928	1	2	1.33	2.8	3	3.0	3.0	0.785	1	1.0				1	51.43504	35.89276	1
38 ОП МЗ 38Н-195	14242	11	15	1	7.5	4	1			2.6	1.86		11.775				1	1	0	0	1	0	0	0		2	1.33	2.8	3	3.0	3.0	0.785	1	1.0				3	51.43456	35.88675	1	2	1.33	2.8	3	3.0	3.0	0.785	1	1.0				3	51.43471	35.88671	1
38 ОП МЗ 38Н-195	14394	12	10	1	5.0	4	1			1.17	0.62		1.9625000000000001				1	1	0	0	0	0	0	0		2	0.85	1.6	3	3.0	3.0	0.19625	1	0.5			7.0	1	51.4344	35.88464	1	2	0.85	1.6	3	3.0	3.0	0.19625	1	0.5			7.0	1	51.4344	35.88448	1
38 ОП МЗ 38Н-195	15099	11	20	1	10.0	4	1			4.2	3.0		22.608				1	1	0	0	0	0	0	0		2	1.85	3.8	3	3.0	3.0	1.1304	1	1.2			9.0	1	51.43369	35.8745	1	2	1.85	3.8	3	3.0	3.0	1.1304	1	1.2			9.0	1	51.43387	35.87445	1
38 ОП МЗ 38Н-195	15601	11	15	1	7.5	4	1			2.32	1.46		11.775				1	1	0	1	0	0	0	0		2	1.4	2.9	3	3.0	3.0	0.785	1	1.0			7.0	2	51.43317	35.86733	1	2	1.4	2.9	3	3.0	3.0	0.785	1	1.0			7.0	2	51.43333	35.8673	1
38 ОП МЗ 38Н-195	15638	12	10	1	5.0	4	1			1.0	0.56		1.9625000000000001				1	1	0	1	0	0	0	0		1	0.8	1.5	3	9.0	9.0	0.19625	1	0.5			5.0	2	51.43311	35.86687	1	1	0.8	1.5	3	9.0	9.0	0.19625	1	0.5			5.0	2	51.43309	35.86674	1
