Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
56	18212	1	2
56	15776	2	2
15776	16950	2	13
16950	18212	2	2
18212	18935	1	7
18212	18935	2	7
18935	21989	1	2
18935	22080	2	2
21989	22560	1	1
22080	22500	2	5
22500	22560	2	7
22560	25101	1	2
22560	25101	2	2
25101	25369	1	13
20101	25369	2	13
25369	26835	1	2
25369	26835	2	2
26835	27212	1	12
26835	27212	2	1
27212	27882	1	2
27212	27882	2	2
