Местоположение начала участка, м	Местоположение конца участка, м	Расположение	Тип местности	Код отметки бровки	Код отметки дна кювета
0	3576	1	1	1	1
0	3576	2	1	1	1
3576	4454	1	1	2	1
3576	4454	2	1	2	1
4454	10190	1	1	1	1
4454	10190	2	1	1	1
10190	11226	1	1	2	2
10190	11226	2	1	2	2
11226	23348	1	1	1	1
11226	23348	2	1	1	1
23348	23883	1	1	2	1
23348	23883	2	1	2	1
23883	27885	1	1	1	1
23883	27885	2	1	1	1
