Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
738	2	10	90	государственная
2673	2	10	90	государственная
3548	2	10	90	государственная
14530	2	10	90	государственная
18874	2	7	90	государственная
21877	3	7	90	государственная
26773	3	7	90	государственная
27374	3	7	90	государственная
