Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
5150	3	7	90	государственная
5345	3	7	45	государственная
5385	3	7	45	государственная
5903	3	7	135	государственная
6071	3	7	90	государственная
6122	3	7	45	государственная
6157	3	7	90	государственная
6535	3	7	90	государственная
