Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
3500.0	3550.0	750	500	2
3550.0	3600.0	750	500	2
3600.0	3650.0	750	500	2
3650.0	3700.0	750	500	2
3700.0	3750.0	750	500	2
3750.0	3800.0	750	500	2
3800.0	3850.0	750	500	2
3850.0	3900.0	750	500	2
3900.0	3950.0	750	500	2
3950.0	4000.0	750	500	2
4000.0	4050.0	750	500	2
4050.0	4100.0	750	500	2
4100.0	4150.0	750	500	2
4150.0	4200.0	750	500	2
4200.0	4250.0	750	500	2
4250.0	4300.0	750	500	2
4300.0	4350.0	750	500	2
4350.0	4400.0	750	500	2
4400.0	4450.0	750	500	2
4450.0	4500.0	750	500	2
4500.0	4550.0	750	500	2
4550.0	4600.0	750	500	2
4600.0	4650.0	750	500	2
4650.0	4700.0	750	500	2
4700.0	4750.0	750	500	2
4750.0	4800.0	750	500	2
4800.0	4850.0	750	500	2
4850.0	4900.0	200	200	3
4900.0	4950.0	200	200	3
4950.0	5000.0	200	200	3
5000.0	5050.0	500	500	3
5050.0	5100.0	500	500	3
5100.0	5150.0	500	500	3
5150.0	5200.0	500	500	3
5200.0	5250.0	500	500	3
5250.0	5300.0	500	500	3
5300.0	5350.0	150	150	3
5350.0	5400.0	150	150	3
5400.0	5450.0	150	150	3
5450.0	5500.0	150	150	3
5500.0	5550.0	150	150	3
5550.0	5600.0	150	150	3
5600.0	5650.0	150	150	3
5650.0	5700.0	150	150	3
5700.0	5750.0	150	150	3
5750.0	5800.0	150	150	3
5800.0	5850.0	150	150	3
5850.0	5900.0	150	150	3
5900.0	5950.0	150	150	3
5950.0	6000.0	150	150	3
6000.0	6050.0	100	300	2
6050.0	6100.0	100	300	2
6100.0	6150.0	100	300	2
6150.0	6200.0	100	300	2
6200.0	6250.0	750	300	2
6250.0	6300.0	750	300	2
6300.0	6350.0	750	500	2
6350.0	6400.0	750	500	2
6400.0	6450.0	750	500	2
6450.0	6500.0	750	500	2
6500.0	6550.0	750	500	2
6550.0	6600.0	750	500	2
6600.0	6650.0	750	500	2
6650.0	6700.0	750	500	2
6700.0	6750.0	750	500	2
6750.0	6800.0	750	500	2
6800.0	6850.0	750	500	2
6850.0	6900.0	750	500	2
6900.0	6950.0	750	500	2
6950.0	7000.0	750	500	2
7000.0	7050.0	750	500	2
7050.0	7100.0	750	500	2
7100.0	7150.0	750	500	2
7150.0	7200.0	750	500	2
7200.0	7250.0	750	500	2
7250.0	7300.0	750	500	2
7300.0	7350.0	750	500	2
7350.0	7400.0	750	500	2
7400.0	7450.0	750	500	2
7450.0	7500.0	750	500	2
7500.0	7550.0	750	500	2
7550.0	7600.0	750	500	2
7600.0	7650.0	750	500	2
7650.0	7700.0	750	500	2
7700.0	7750.0	750	500	2
7750.0	7800.0	750	500	2
7800.0	7850.0	750	500	2
7850.0	7900.0	750	500	2
7900.0	7950.0	750	500	2
7950.0	8000.0	750	500	2
8000.0	8050.000000000001	750	500	2
8050.000000000001	8100.0	750	500	2
8100.0	8150.0	750	500	2
8150.0	8200.0	750	500	2
8200.0	8250.0	750	500	2
8250.0	8300.0	750	500	2
8300.0	8350.0	750	500	2
8350.0	8400.0	750	500	2
8400.0	8450.0	750	500	2
8450.0	8500.0	750	500	2
