Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1002	1	2	2	5
1002	1022	1	2	2	3
1022	1959	1	2	2	5
1959	1968	1	2	2	3
1968	2065	1	2	2	5
2065	2071	1	2	2	3
2071	2258	1	2	2	5
0	330	2	2	2	5
330	335	2	2	2	3
335	1959	2	2	2	5
1959	1968	2	2	2	3
1968	2120	2	2	2	5
2120	2125	2	2	2	3
2125	2235	2	2	2	5
2235	2243	2	2	2	3
2243	2258	2	2	2	5
