Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
59	1	2	2.4		1	1
162	2	1	3.24	40.0	1	1
416	2	1	2.3.3		1	1
711	1	2	2.3.2		1	1
783	1	2	1.23		1	1
823	1	2	3.24	40.0	1	1
874	2	1	1.11.2		1	1
1331	1	2	1.11.1		1	1
3213	2	1	1.11.1		1	1
3457	2	1	1.11.2		1	1
3467	1	2	5.16		1	1
3590	1	2	1.11.2		1	1
