Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
160	231	1	13
160	283	2	4
231	445	1	1
283	1606	2	2
445	924	1	2
924	1779	1	1
1606	2023	2	13
1779	2420	1	4
2023	2420	2	4
2420	3265	1	13
2420	3087	2	2
3087	3300	2	13
3265	6150	1	2
3300	4080	2	1
4080	6074	2	2
6074	6150	2	1
