Местоположение начала участка м	Местоположение конца участка м	Расположение	7 - луг
42	338	1	1
42	338	2	1
338	420	1	13
338	776	2	13
420	776	1	1
776	4076	1	2
776	1030	2	2
1030	1612	2	13
1612	1826	2	7
1826	2182	2	2
2182	2579	2	13
2579	4870	2	2
4076	4605	1	7
4605	4870	1	7
4870	5260	1	8
4870	5012	2	8
5012	6109	1	13
5260	6109	1	13
