Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
0	2	1	6.12	Денисовка, Шумовка	2	1
260	2	2	2.3.3		1	1
1379	2	1	5.23.1	Денисовка	2	1
1379	1	2	5.24.1	Денисовка	2	1
1440	2	1	1.12.2		1	1
1765	2	1	1.11.2		1	1
1796	2	2	1.12.2		1	3
1816	2	1	5.16		9	1
1816	1	2	5.16		9	1
2051	2	2	1.11.1		1	3
2376	2	1	1.11.2		1	1
2528	13	1	2.4		1	1
2651	2	2	1.11.1		1	3
