Местоположение начала участка, м	Местоположение конца участка, м	Код расположения столбика	Количество столбиков, шт.	4 - прямые участки, кривые в продольном профиле, высокие насыпи	Код материала 	Наименование	Шаг расстановки столбиков, м	Год установки	Техническое состояние
26	36	1	3	2	7		5		
97	133	1	13	6	7		3		
124	156	2	9	6	7		4		
150	160	1	5	6	7		5		
168	173	2	2	6	7		5		
201	251	1	6	6	7		10		
205	261	2	9	6	7		7		
1789	1821	2	5	6	7		8		
