Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
36	2	2	2.4		1	1
537	2	1	1.11.2		1	1
730	2	1	5.23.1	Тарасово	2	1
730	1	2	5.24.1	Тарасово	2	1
990	2	2	1.11.1		1	1
991	2	1	3.24		1	1
1178	2	1	2.3.2		1	1
1260	2	2	3.24	40	1	1
1260	2	2	1.23		1	1
1360	2	2	2.4		1	1
1370	2	1	3.24	40	1	1
1493	2	1	1.12.2		1	1
1493	2	1	1.13		1	1
1493	2	1	1.15		1	1
2345	2	1	1.12.1		1	1
3172	2	2	1.12.1		1	1
3375	2	2	2.4		1	1
