Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1165	1	2	2	5
1165	1169	1	2	2	3
1169	1840	1	2	2	5
1840	1840	1	2	2	3
1854	2120	1	2	2	5
2120	2140	1	2	2	3
2140	2210	1	2	2	5
2210	2212	1	2	2	3
2212	2472	1	2	2	5
2472	2478	1	2	2	3
2478	2588	1	2	2	5
2588	2680	1	2	2	3
2680	2848	1	2	2	5
