Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
30	2	2	2.4		1	1
1055	2	1	1.11.2		1	1
1433	2	1	5.23.1	Спасское	2	1
1433	1	2	5.24.1	Спасское	2	1
1584	2	1	1.11.1		1	1
1670	2	2	1.11.1		1	2
2100	2	2	1.11.2		1	1
2105	2	1	3.24	40	1	1
2227	2	1	1.11.2		1	1
2572	2	2	2.1		1	1
2674	1	1	5.16		1	1
2674	2	2	5.16		1	1
