Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
88	3	7	90	государственная
578	3	7	45	государственная
1657	3	7	135	государственная
2471	3	7	90	государственная
2787	3	7	135	государственная
2960	3	7	90	государственная
6756	3	7	90	государственная
7337	3	7	90	государственная
7693	3	12	90	государственная
8121	3	7	90	государственная
8366	3	7	135	государственная
