Местоположение начала участка, м	Местоположение конца участка, м	Расположение	Тип местности	Код отметки бровки	Код отметки дна кювета
0	1779	1	1	1	1
0	1779	2	1	1	1
1779	2750	1	1	2	2
1779	2750	2	1	2	2
2750	6650	1	1	1	1
2750	6650	2	1	1	1
6650	6968	1	1	2	1
6650	6968	2	1	2	1
6968	7900	1	1	2	2
6968	7900	2	1	2	2
7900	9850	1	1	1	1
7900	9850	2	1	1	1
